time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20160101:0010,0,0,0,0,0,2.92,1.2,0
20160101:0110,0,0,0,0,0,3.08,1.12,0
20160101:0210,0,0,0,0,0,3.23,1.03,0
20160101:0310,0,0,0,0,0,3.39,0.95,0
20160101:0410,0,0,0,0,0,3.06,0.79,0
20160101:0510,0,0,0,0,0,2.73,0.62,0
20160101:0610,0,0,0,0,0,2.4,0.46,0
20160101:0710,0,0,0,0,0,2.78,0.72,0
20160101:0810,29900,117.28,44.55,1.14,6.63,3.16,0.98,0
20160101:0910,644,8.3,2.77,0.11,12.98,3.55,1.24,0
20160101:1010,0,0,0,0,0,4.4,1.48,0
20160101:1110,0,0,0,0,0,5.26,1.72,0
20160101:1210,0,0,0,0,0,6.12,1.96,0
20160101:1310,0,0,0,0,0,5.93,1.81,0
20160101:1410,1586,13.87,3.78,0.15,10.79,5.75,1.66,0
20160101:1510,264,7.31,0.94,0.04,3.82,5.56,1.5,0
20160101:1610,0,0,0,0,0,4.55,1.73,0
20160101:1710,0,0,0,0,0,3.55,1.95,0
20160101:1810,0,0,0,0,0,2.55,2.18,0
20160101:1910,0,0,0,0,0,2.18,2.16,0
20160101:2010,0,0,0,0,0,1.81,2.13,0
20160101:2110,0,0,0,0,0,1.44,2.11,0
20160101:2210,0,0,0,0,0,1.26,2.3,0
20160101:2310,0,0,0,0,0,1.07,2.49,0
20160102:0010,0,0,0,0,0,0.88,2.68,0
20160102:0110,0,0,0,0,0,1.3,2.9,0
20160102:0210,0,0,0,0,0,1.71,3.12,0
20160102:0310,0,0,0,0,0,2.13,3.34,0
20160102:0410,0,0,0,0,0,2.15,3.44,0
20160102:0510,0,0,0,0,0,2.17,3.54,0
20160102:0610,0,0,0,0,0,2.19,3.64,0
20160102:0710,0,0,0,0,0,2.48,3.52,0
20160102:0810,10254,50.58,15.01,0.49,6.65,2.76,3.39,0
20160102:0910,31018,90.2,71.6,1.84,13.02,3.05,3.27,0
20160102:1010,0,0,0,0,0,3,3.18,0
20160102:1110,0,0,0,0,0,2.96,3.09,0
20160102:1210,0,0,0,0,0,2.92,2.99,0
20160102:1310,3668,22.01,7.56,0.3,16.09,3.41,2.75,0
20160102:1410,0,3.44,0.91,0.04,10.91,3.91,2.51,0
20160102:1510,0,0,0,0,0,4.4,2.28,0
20160102:1610,0,0,0,0,0,4.32,2.4,0
20160102:1710,0,0,0,0,0,4.24,2.51,0
20160102:1810,0,0,0,0,0,4.16,2.63,0
20160102:1910,0,0,0,0,0,4.14,2.82,0
20160102:2010,0,0,0,0,0,4.12,3,0
20160102:2110,0,0,0,0,0,4.1,3.19,0
20160102:2210,0,0,0,0,0,4,3.2,0
20160102:2310,0,0,0,0,0,3.89,3.21,0
20160103:0010,0,0,0,0,0,3.78,3.23,0
20160103:0110,0,0,0,0,0,3.48,2.68,0
20160103:0210,0,0,0,0,0,3.18,2.13,0
20160103:0310,0,0,0,0,0,2.89,1.59,0
20160103:0410,0,0,0,0,0,2.72,1.6,0
20160103:0510,0,0,0,0,0,2.56,1.6,0
20160103:0610,0,0,0,0,0,2.39,1.61,0
20160103:0710,0,0,0,0,0,2.61,1.76,0
20160103:0810,15560,69.64,22.43,0.68,6.68,2.82,1.91,0
20160103:0910,31558,115.4,49.02,1.59,13.06,3.04,2.06,0
20160103:1010,45724,155.88,73.07,2.39,17.52,3.33,2.18,0
20160103:1110,39712,137.81,62.98,2.16,19.63,3.62,2.3,0
20160103:1210,122064,378.89,223.45,5.76,19.18,3.91,2.43,0
20160103:1310,51786,177.94,80.05,2.46,16.21,4.05,2.1,0
20160103:1410,33260,126.09,46.92,1.4,11.04,4.18,1.77,0
20160103:1510,13446,68.94,12.64,0.38,4.08,4.32,1.43,0
20160103:1610,0,0,0,0,0,3.87,1.7,0
20160103:1710,0,0,0,0,0,3.43,1.97,0
20160103:1810,0,0,0,0,0,2.99,2.23,0
20160103:1910,0,0,0,0,0,3.23,2.73,0
20160103:2010,0,0,0,0,0,3.48,3.22,0
20160103:2110,0,0,0,0,0,3.72,3.71,0
20160103:2210,0,0,0,0,0,3.57,4.14,0
20160103:2310,0,0,0,0,0,3.42,4.57,0
20160104:0010,0,0,0,0,0,3.26,5.01,0
20160104:0110,0,0,0,0,0,2.95,5.17,0
20160104:0210,0,0,0,0,0,2.64,5.34,0
20160104:0310,0,0,0,0,0,2.33,5.5,0
20160104:0410,0,0,0,0,0,2.51,5.26,0
20160104:0510,0,0,0,0,0,2.7,5.02,0
20160104:0610,0,0,0,0,0,2.88,4.77,0
20160104:0710,0,0,0,0,0,3.15,4.62,0
20160104:0810,0,0,0,0,0,3.42,4.46,0
20160104:0910,53754,180.56,86.61,2.5,13.12,3.7,4.3,0
20160104:1010,0,0,0,0,0,3.81,4.34,0
20160104:1110,98442,305.9,170.65,4.81,19.72,3.92,4.39,0
20160104:1210,0,0,0,0,0,4.03,4.43,0
20160104:1310,162858,490.04,321.04,6.82,16.34,3.93,4,0
20160104:1410,157848,476.12,315.34,5.34,11.17,3.83,3.58,0
20160104:1510,46694,187.44,52.53,1.06,4.22,3.73,3.16,0
20160104:1610,0,0,0,0,0,3.37,2.89,0
20160104:1710,0,0,0,0,0,3.02,2.63,0
20160104:1810,0,0,0,0,0,2.67,2.36,0
20160104:1910,0,0,0,0,0,2.26,2.35,0
20160104:2010,0,0,0,0,0,1.85,2.34,0
20160104:2110,0,0,0,0,0,1.44,2.33,0
20160104:2210,0,0,0,0,0,0.99,2.33,0
20160104:2310,0,0,0,0,0,0.54,2.32,0
20160105:0010,0,0,0,0,0,0.08,2.32,0
20160105:0110,0,0,0,0,0,0.49,2.39,0
20160105:0210,0,0,0,0,0,0.89,2.46,0
20160105:0310,0,0,0,0,0,1.3,2.52,0
20160105:0410,0,0,0,0,0,1.5,2.8,0
20160105:0510,0,0,0,0,0,1.71,3.09,0
20160105:0610,0,0,0,0,0,1.91,3.37,0
20160105:0710,0,0,0,0,0,2.33,3.44,0
20160105:0810,0,0,0,0,0,2.75,3.52,0
20160105:0910,0,0,0,0,0,3.17,3.6,0
20160105:1010,0,0,0,0,0,3.51,3.78,0
20160105:1110,508,7.2,2.75,0.11,19.82,3.86,3.97,0
20160105:1210,130322,397.86,239.68,6.1,19.41,4.21,4.15,0
20160105:1310,59626,200.3,93.63,2.8,16.47,4.39,3.38,0
20160105:1410,56766,197.35,85.89,2.24,11.31,4.56,2.62,0
20160105:1510,19302,90.99,19.26,0.53,4.37,4.74,1.85,0
20160105:1610,0,0,0,0,0,3.85,1.98,0
20160105:1710,0,0,0,0,0,2.97,2.11,0
20160105:1810,0,0,0,0,0,2.08,2.23,0
20160105:1910,0,0,0,0,0,1.96,2.04,0
20160105:2010,0,0,0,0,0,1.84,1.84,0
20160105:2110,0,0,0,0,0,1.72,1.64,0
20160105:2210,0,0,0,0,0,1.38,1.6,0
20160105:2310,0,0,0,0,0,1.03,1.57,0
20160106:0010,0,0,0,0,0,0.68,1.53,0
20160106:0110,0,0,0,0,0,0.88,1.64,0
20160106:0210,0,0,0,0,0,1.07,1.75,0
20160106:0310,0,0,0,0,0,1.27,1.86,0
20160106:0410,0,0,0,0,0,1.11,1.99,0
20160106:0510,0,0,0,0,0,0.96,2.12,0
20160106:0610,0,0,0,0,0,0.8,2.25,0
20160106:0710,0,0,0,0,0,1.14,2.34,0
20160106:0810,68772,227.08,119.18,2.27,6.8,1.48,2.43,0
20160106:0910,27800,102.94,43.11,1.44,13.24,1.83,2.52,0
20160106:1010,111544,342.23,203,5.31,17.76,2.36,2.41,0
20160106:1110,1462,11.94,4.61,0.19,19.93,2.89,2.29,0
20160106:1210,29834,108.22,46.81,1.67,19.54,3.42,2.18,0
20160106:1310,71978,236.76,116.69,3.33,16.61,3.73,2.08,0
20160106:1410,69694,235.18,110.08,2.69,11.46,4.04,1.98,0
20160106:1510,1080,12.62,1.94,0.08,4.52,4.35,1.88,0
20160106:1610,0,0,0,0,0,3.72,1.93,0
20160106:1710,0,0,0,0,0,3.09,1.99,0
20160106:1810,0,0,0,0,0,2.46,2.04,0
20160106:1910,0,0,0,0,0,2.38,2.07,0
20160106:2010,0,0,0,0,0,2.3,2.1,0
20160106:2110,0,0,0,0,0,2.21,2.12,0
20160106:2210,0,0,0,0,0,2.07,2.21,0
20160106:2310,0,0,0,0,0,1.92,2.3,0
20160107:0010,0,0,0,0,0,1.77,2.39,0
20160107:0110,0,0,0,0,0,1.56,2.23,0
20160107:0210,0,0,0,0,0,1.35,2.08,0
20160107:0310,0,0,0,0,0,1.14,1.93,0
20160107:0410,0,0,0,0,0,0.71,2.2,0
20160107:0510,0,0,0,0,0,0.29,2.47,0
20160107:0610,0,0,0,0,0,-0.13,2.74,0
20160107:0710,0,0,0,0,0,0.36,3.08,0
20160107:0810,79972,255.05,143.14,2.58,6.85,0.85,3.42,0
20160107:0910,2304,16.16,5.64,0.23,13.32,1.34,3.75,0
20160107:1010,0,0,0,0,0,1.77,4.32,0
20160107:1110,0,0,0,0,0,2.21,4.88,0
20160107:1210,0,0,0,0,0,2.64,5.45,0
20160107:1310,0,0,0,0,0,3.01,5.52,0
20160107:1410,0,0,0,0,0,3.38,5.59,0
20160107:1510,11928,61.26,12.2,0.38,4.67,3.75,5.66,0
20160107:1610,0,0,0,0,0,4.3,5.56,0
20160107:1710,0,0,0,0,0,4.85,5.47,0
20160107:1810,0,0,0,0,0,5.4,5.38,0
20160107:1910,0,0,0,0,0,5.08,5.19,0
20160107:2010,0,0,0,0,0,4.76,5,0
20160107:2110,0,0,0,0,0,4.44,4.81,0
20160107:2210,0,0,0,0,0,4.08,4.42,0
20160107:2310,0,0,0,0,0,3.71,4.02,0
20160108:0010,0,0,0,0,0,3.34,3.63,0
20160108:0110,0,0,0,0,0,3.48,3.15,0
20160108:0210,0,0,0,0,0,3.61,2.67,0
20160108:0310,0,0,0,0,0,3.75,2.19,0
20160108:0410,0,0,0,0,0,3.6,1.81,0
20160108:0510,0,0,0,0,0,3.45,1.42,0
20160108:0610,0,0,0,0,0,3.3,1.03,0
20160108:0710,0,0,0,0,0,3.49,1.26,0
20160108:0810,30638,118.86,46.77,1.21,6.91,3.67,1.48,0
20160108:0910,174,5.36,1.83,0.08,13.4,3.86,1.7,0
20160108:1010,0,0,0,0,0,4.35,1.83,0
20160108:1110,0,0,0,0,0,4.85,1.96,0
20160108:1210,516,7.3,2.75,0.11,19.81,5.35,2.1,0
20160108:1310,0,0,0,0,0,5.38,1.91,0
20160108:1410,0,0,0,0,0,5.4,1.72,0
20160108:1510,0,0,0,0,0,5.43,1.53,0
20160108:1610,0,0,0,0,0,5.29,1.83,0
20160108:1710,0,0,0,0,0,5.16,2.13,0
20160108:1810,0,0,0,0,0,5.02,2.43,0
20160108:1910,0,0,0,0,0,5.1,2.63,0
20160108:2010,0,0,0,0,0,5.18,2.84,0
20160108:2110,0,0,0,0,0,5.26,3.05,0
20160108:2210,0,0,0,0,0,5.17,3.02,0
20160108:2310,0,0,0,0,0,5.08,2.99,0
20160109:0010,0,0,0,0,0,4.98,2.97,0
20160109:0110,0,0,0,0,0,4.82,2.84,0
20160109:0210,0,0,0,0,0,4.66,2.71,0
20160109:0310,0,0,0,0,0,4.5,2.58,0
20160109:0410,0,0,0,0,0,4.61,2.57,0
20160109:0510,0,0,0,0,0,4.73,2.57,0
20160109:0610,0,0,0,0,0,4.84,2.57,0
20160109:0710,0,0,0,0,0,5.04,2.51,0
20160109:0810,490,3.68,6.45,0.15,6.98,5.24,2.46,0
20160109:0910,8532,0,56.09,1.17,13.49,5.44,2.41,0
20160109:1010,3752,0,30.76,0.64,18.07,5.65,2.4,0
20160109:1110,8512,0,56.09,1.17,20.31,5.87,2.38,0
20160109:1210,4884,0,37.09,0.78,19.96,6.09,2.36,0
20160109:1310,6228,0,44.33,0.93,17.07,6.27,2.23,0
20160109:1410,6910,0,47.95,1,11.94,6.45,2.1,0
20160109:1510,1082,0,14.48,0.3,5,6.63,1.97,0
20160109:1610,0,0,0,0,0,5.94,1.94,0
20160109:1710,0,0,0,0,0,5.26,1.91,0
20160109:1810,0,0,0,0,0,4.58,1.88,0
20160109:1910,0,0,0,0,0,4.24,2.04,0
20160109:2010,0,0,0,0,0,3.9,2.21,0
20160109:2110,0,0,0,0,0,3.55,2.37,0
20160109:2210,0,0,0,0,0,3.46,2.57,0
20160109:2310,0,0,0,0,0,3.37,2.77,0
20160110:0010,0,0,0,0,0,3.28,2.97,0
20160110:0110,0,0,0,0,0,3.54,3.02,0
20160110:0210,0,0,0,0,0,3.8,3.07,0
20160110:0310,0,0,0,0,0,4.07,3.12,0
20160110:0410,0,0,0,0,0,4.35,3.19,0
20160110:0510,0,0,0,0,0,4.64,3.26,0
20160110:0610,0,0,0,0,0,4.92,3.34,0
20160110:0710,0,0,0,0,0,5.31,3.33,0
20160110:0810,960,0,13.57,0.28,7.06,5.7,3.32,0
20160110:0910,6068,0,43.43,0.91,13.58,6.1,3.31,0
20160110:1010,5218,0,38.9,0.81,18.19,6.22,3.29,0
20160110:1110,3264,0,28.05,0.59,20.44,6.35,3.27,0
20160110:1210,4220,0,33.47,0.7,20.12,6.48,3.26,0
20160110:1310,13870,44.54,37.27,1.04,17.24,6,3.11,0
20160110:1410,6084,0,43.43,0.91,12.11,5.51,2.97,0
20160110:1510,80,0,6.33,0.13,5.17,5.03,2.83,0
20160110:1610,0,0,0,0,0,5.1,3.4,0
20160110:1710,0,0,0,0,0,5.18,3.97,0
20160110:1810,0,0,0,0,0,5.26,4.54,0
20160110:1910,0,0,0,0,0,5.37,4.59,0
20160110:2010,0,0,0,0,0,5.49,4.65,0
20160110:2110,0,0,0,0,0,5.6,4.7,0
20160110:2210,0,0,0,0,0,5.27,4.04,0
20160110:2310,0,0,0,0,0,4.94,3.38,0
20160111:0010,0,0,0,0,0,4.61,2.72,0
20160111:0110,0,0,0,0,0,4.58,2.51,0
20160111:0210,0,0,0,0,0,4.54,2.31,0
20160111:0310,0,0,0,0,0,4.51,2.11,0
20160111:0410,0,0,0,0,0,4.43,2.38,0
20160111:0510,0,0,0,0,0,4.36,2.65,0
20160111:0610,0,0,0,0,0,4.29,2.92,0
20160111:0710,0,0,0,0,0,5.02,3.95,0
20160111:0810,29668,82.6,77.88,1.59,7.14,5.75,4.98,0
20160111:0910,54798,175.9,98.53,2.73,13.69,6.48,6.01,0
20160111:1010,2648,0,24.43,0.51,18.31,6.42,6.79,0
20160111:1110,3268,0,28.05,0.59,20.59,6.36,7.57,0
20160111:1210,3112,0,27.14,0.57,20.28,6.3,8.34,0
20160111:1310,37108,65.04,125.77,2.82,17.41,6,7.65,0
20160111:1410,51204,138.26,117.93,2.61,12.29,5.69,6.96,0
20160111:1510,63306,283.37,34.91,1.27,5.35,5.39,6.26,0
20160111:1610,0,0,0,0,0,4.91,6.35,0
20160111:1710,0,0,0,0,0,4.44,6.44,0
20160111:1810,0,0,0,0,0,3.97,6.52,0
20160111:1910,0,0,0,0,0,3.73,6.6,0
20160111:2010,0,0,0,0,0,3.49,6.67,0
20160111:2110,0,0,0,0,0,3.24,6.74,0
20160111:2210,0,0,0,0,0,3.15,6.54,0
20160111:2310,0,0,0,0,0,3.06,6.33,0
20160112:0010,0,0,0,0,0,2.96,6.12,0
20160112:0110,0,0,0,0,0,2.89,6.21,0
20160112:0210,0,0,0,0,0,2.82,6.29,0
20160112:0310,0,0,0,0,0,2.76,6.37,0
20160112:0410,0,0,0,0,0,2.48,6.31,0
20160112:0510,0,0,0,0,0,2.21,6.24,0
20160112:0610,0,0,0,0,0,1.93,6.18,0
20160112:0710,0,0,0,0,0,2.11,5.84,0
20160112:0810,11644,24.83,46.69,1,7.23,2.28,5.5,0
20160112:0910,1806,0,19,0.4,13.8,2.46,5.16,0
20160112:1010,35660,49.74,132.41,2.96,18.44,2.55,5.48,0
20160112:1110,73816,162.27,194.42,4.6,20.74,2.65,5.79,0
20160112:1210,41974,26.19,185.39,3.94,20.45,2.74,6.11,0
20160112:1310,35666,49.07,133.15,2.92,17.59,2.81,6.11,0
20160112:1410,46698,114.97,117.87,2.58,12.47,2.88,6.12,0
20160112:1510,3096,10.59,16.29,0.36,5.53,2.95,6.12,0
20160112:1610,0,0,0,0,0,2.67,5.94,0
20160112:1710,0,0,0,0,0,2.39,5.76,0
20160112:1810,0,0,0,0,0,2.11,5.57,0
20160112:1910,0,0,0,0,0,1.89,5.52,0
20160112:2010,0,0,0,0,0,1.67,5.46,0
20160112:2110,0,0,0,0,0,1.45,5.41,0
20160112:2210,0,0,0,0,0,1.23,5.63,0
20160112:2310,0,0,0,0,0,1,5.85,0
20160113:0010,0,0,0,0,0,0.77,6.07,0
20160113:0110,0,0,0,0,0,0.64,6.45,0
20160113:0210,0,0,0,0,0,0.51,6.82,0
20160113:0310,0,0,0,0,0,0.38,7.2,0
20160113:0410,0,0,0,0,0,0.31,7.12,0
20160113:0510,0,0,0,0,0,0.24,7.03,0
20160113:0610,0,0,0,0,0,0.17,6.95,0
20160113:0710,0,0,0,0,0,0.32,6.84,0
20160113:0810,24076,94.5,36.87,1.04,7.32,0.47,6.72,0
20160113:0910,1826,0,19,0.4,13.91,0.63,6.61,0
20160113:1010,5722,0,40.71,0.85,18.58,0.66,6.63,0
20160113:1110,25658,0,135.7,2.84,20.9,0.69,6.64,0
20160113:1210,12282,0,73.28,1.53,20.62,0.72,6.66,0
20160113:1310,26640,30.76,108.89,2.39,17.77,0.6,5.9,0
20160113:1410,26176,46.08,91.56,1.99,12.66,0.48,5.14,0
20160113:1510,9026,25.73,32.04,0.68,5.72,0.36,4.37,0
20160113:1610,0,0,0,0,0,-0.25,3.59,0
20160113:1710,0,0,0,0,0,-0.86,2.8,0
20160113:1810,0,0,0,0,0,-1.47,2.01,0
20160113:1910,0,0,0,0,0,-2.35,1.94,0
20160113:2010,0,0,0,0,0,-3.23,1.88,0
20160113:2110,0,0,0,0,0,-4.12,1.81,0
20160113:2210,0,0,0,0,0,-5.45,2.01,0
20160113:2310,0,0,0,0,0,-6.78,2.22,0
20160114:0010,0,0,0,0,0,-8.11,2.43,0
20160114:0110,0,0,0,0,0,-8.02,2.26,0
20160114:0210,0,0,0,0,0,-7.94,2.09,0
20160114:0310,0,0,0,0,0,-7.85,1.92,0
20160114:0410,0,0,0,0,0,-7.96,2.09,0
20160114:0510,0,0,0,0,0,-8.06,2.27,0
20160114:0610,0,0,0,0,0,-8.16,2.44,0
20160114:0710,0,0,0,0,0,-7,2.74,0
20160114:0810,8160,13.81,38.56,0.83,7.43,-5.84,3.04,0
20160114:0910,51422,138.57,109.53,2.77,14.04,-4.67,3.34,0
20160114:1010,37754,65.51,122.35,2.84,18.73,-2.76,3.46,0
20160114:1110,23380,13.75,110.75,2.39,21.07,-0.85,3.59,0
20160114:1210,6930,0,47.04,0.99,20.8,1.06,3.71,0
20160114:1310,3838,0,30.76,0.64,17.96,1.46,3.52,0
20160114:1410,1386,0,16.28,0.34,12.85,1.87,3.32,0
20160114:1510,610,0,10.86,0.23,5.91,2.27,3.13,0
20160114:1610,0,0,0,0,0,1.84,3.32,0
20160114:1710,0,0,0,0,0,1.42,3.52,0
20160114:1810,0,0,0,0,0,1,3.71,0
20160114:1910,0,0,0,0,0,0.81,4.01,0
20160114:2010,0,0,0,0,0,0.63,4.32,0
20160114:2110,0,0,0,0,0,0.44,4.62,0
20160114:2210,0,0,0,0,0,0.2,4.81,0
20160114:2310,0,0,0,0,0,-0.04,5,0
20160115:0010,0,0,0,0,0,-0.29,5.19,0
20160115:0110,0,0,0,0,0,-0.37,5.32,0
20160115:0210,0,0,0,0,0,-0.46,5.46,0
20160115:0310,0,0,0,0,0,-0.54,5.6,0
20160115:0410,0,0,0,0,0,-0.91,5.76,0
20160115:0510,0,0,0,0,0,-1.27,5.91,0
20160115:0610,0,0,0,0,0,-1.64,6.07,0
20160115:0710,0,0,0,0,0,-1.65,6.05,0
20160115:0810,56006,207.59,70.94,1.91,7.53,-1.67,6.02,0
20160115:0910,78246,264.7,106.62,3.37,14.17,-1.68,6,0
20160115:1010,75442,185.95,171.05,4.26,18.88,-1.58,6.41,0
20160115:1110,90640,232.3,193.31,4.96,21.24,-1.48,6.83,0
20160115:1210,85160,217.26,182.91,4.66,20.99,-1.38,7.24,0
20160115:1310,13556,0,78.71,1.65,18.16,-1.43,6.54,0
20160115:1410,1416,0,16.28,0.34,13.05,-1.49,5.83,0
20160115:1510,66504,257.86,65.79,1.53,6.11,-1.54,5.13,0
20160115:1610,0,0,0,0,0,-1.94,4.93,0
20160115:1710,0,0,0,0,0,-2.34,4.73,0
20160115:1810,0,0,0,0,0,-2.74,4.52,0
20160115:1910,0,0,0,0,0,-2.81,4.27,0
20160115:2010,0,0,0,0,0,-2.88,4.01,0
20160115:2110,0,0,0,0,0,-2.96,3.75,0
20160115:2210,0,0,0,0,0,-3.08,3.49,0
20160115:2310,0,0,0,0,0,-3.21,3.24,0
20160116:0010,0,0,0,0,0,-3.34,2.98,0
20160116:0110,0,0,0,0,0,-3.31,2.97,0
20160116:0210,0,0,0,0,0,-3.29,2.96,0
20160116:0310,0,0,0,0,0,-3.26,2.95,0
20160116:0410,0,0,0,0,0,-3.41,2.76,0
20160116:0510,0,0,0,0,0,-3.56,2.57,0
20160116:0610,0,0,0,0,0,-3.71,2.39,0
20160116:0710,0,0,0,0,0,-3.47,2.46,0
20160116:0810,9716,16.77,43.83,0.95,7.65,-3.24,2.54,0
20160116:0910,10858,7.57,57.96,1.25,14.3,-3,2.62,0
20160116:1010,14450,11.54,70.97,1.55,19.04,-2.6,2.79,0
20160116:1110,21878,40.74,75.65,1.84,21.42,-2.2,2.96,0
20160116:1210,15262,2.32,84.42,1.78,21.19,-1.8,3.13,0
20160116:1310,6314,0,43.43,0.91,18.36,-1.75,3.26,0
20160116:1410,6372,11.87,31.69,0.72,13.25,-1.69,3.4,0
20160116:1510,92,0,6.33,0.13,6.31,-1.64,3.53,0
20160116:1610,0,0,0,0,0,-2.09,3.32,0
20160116:1710,0,0,0,0,0,-2.54,3.12,0
20160116:1810,0,0,0,0,0,-2.99,2.91,0
20160116:1910,0,0,0,0,0,-3.09,3.04,0
20160116:2010,0,0,0,0,0,-3.19,3.18,0
20160116:2110,0,0,0,0,0,-3.29,3.31,0
20160116:2210,0,0,0,0,0,-3.44,3.31,0
20160116:2310,0,0,0,0,0,-3.59,3.31,0
20160117:0010,0,0,0,0,0,-3.74,3.31,0
20160117:0110,0,0,0,0,0,-3.72,3.15,0
20160117:0210,0,0,0,0,0,-3.7,3,0
20160117:0310,0,0,0,0,0,-3.68,2.84,0
20160117:0410,0,0,0,0,0,-3.73,2.98,0
20160117:0510,0,0,0,0,0,-3.77,3.13,0
20160117:0610,0,0,0,0,0,-3.81,3.27,0
20160117:0710,0,0,0,0,0,-3.55,3.69,0
20160117:0810,51116,178.32,76.3,1.91,7.77,-3.3,4.11,0
20160117:0910,42832,202.64,6.53,1.63,14.45,-3.04,4.52,0
20160117:1010,16352,0,91.37,1.91,19.21,-2.93,4.63,0
20160117:1110,3760,0,29.85,0.63,21.61,-2.82,4.74,0
20160117:1210,29226,48.41,100.69,2.37,21.39,-2.71,4.84,0
20160117:1310,3926,0,30.76,0.64,18.57,-2.85,4.52,0
20160117:1410,28778,49.84,97.69,2.14,13.46,-2.99,4.2,0
20160117:1510,66516,253.33,68.91,1.63,6.51,-3.13,3.88,0
20160117:1610,0,0,0,0,0,-3.69,3.31,0
20160117:1710,0,0,0,0,0,-4.24,2.74,0
20160117:1810,0,0,0,0,0,-4.8,2.18,0
20160117:1910,0,0,0,0,0,-5.2,1.92,0
20160117:2010,0,0,0,0,0,-5.6,1.66,0
20160117:2110,0,0,0,0,0,-6,1.41,0
20160117:2210,0,0,0,0,0,-6.68,1.51,0
20160117:2310,0,0,0,0,0,-7.36,1.61,0
20160118:0010,0,0,0,0,0,-8.05,1.71,0
20160118:0110,0,0,0,0,0,-8.53,1.9,0
20160118:0210,0,0,0,0,0,-9.01,2.1,0
20160118:0310,0,0,0,0,0,-9.48,2.29,0
20160118:0410,0,0,0,0,0,-10.08,2.55,0
20160118:0510,0,0,0,0,0,-10.67,2.8,0
20160118:0610,0,0,0,0,0,-11.27,3.06,0
20160118:0710,0,0,0,0,0,-10.66,3.16,0
20160118:0810,5106,6.5,29.78,0.64,7.9,-10.06,3.26,0
20160118:0910,30976,52.07,101.69,2.31,14.6,-9.45,3.37,0
20160118:1010,26220,27.32,106.65,2.37,19.38,-7.09,3.11,0
20160118:1110,29028,26.81,121.09,2.67,21.8,-4.72,2.85,0
20160118:1210,24304,13.74,114.39,2.46,21.6,-2.36,2.59,0
20160118:1310,65044,147.8,165.08,3.9,18.79,-2.18,2.23,0
20160118:1410,18482,23.18,78.41,1.71,13.68,-2.01,1.87,0
20160118:1510,18728,58.29,45.54,0.97,6.72,-1.83,1.5,0
20160118:1610,0,0,0,0,0,-3.24,1.75,0
20160118:1710,0,0,0,0,0,-4.64,1.99,0
20160118:1810,0,0,0,0,0,-6.04,2.23,0
20160118:1910,0,0,0,0,0,-6.45,2.25,0
20160118:2010,0,0,0,0,0,-6.86,2.27,0
20160118:2110,0,0,0,0,0,-7.27,2.29,0
20160118:2210,0,0,0,0,0,-7.15,2.37,0
20160118:2310,0,0,0,0,0,-7.03,2.45,0
20160119:0010,0,0,0,0,0,-6.91,2.52,0
20160119:0110,0,0,0,0,0,-6.52,2.51,0
20160119:0210,0,0,0,0,0,-6.13,2.49,0
20160119:0310,0,0,0,0,0,-5.73,2.47,0
20160119:0410,0,0,0,0,0,-5.44,2.39,0
20160119:0510,0,0,0,0,0,-5.14,2.3,0
20160119:0610,0,0,0,0,0,-4.84,2.22,0
20160119:0710,0,0,0,0,0,-4.1,2.29,0
20160119:0810,8778,6.4,49.27,1.04,8.04,-3.36,2.35,0
20160119:0910,16506,17.2,75.04,1.65,14.76,-2.62,2.41,0
20160119:1010,15238,0,86.85,1.82,19.56,-1.53,2.24,0
20160119:1110,7692,0,50.66,1.06,22,-0.43,2.06,0
20160119:1210,5882,0,41.62,0.87,21.81,0.67,1.89,0
20160119:1310,10368,0,64.23,1.35,19,0.84,1.61,0
20160119:1410,14074,11.45,70.65,1.52,13.89,1.01,1.34,0
20160119:1510,3352,0,28.05,0.59,6.94,1.18,1.06,0
20160119:1610,0,0,0,0,0,0.86,0.99,0
20160119:1710,0,0,0,0,0,0.54,0.92,0
20160119:1810,0,0,0,0,0,0.22,0.86,0
20160119:1910,0,0,0,0,0,0.02,1,0
20160119:2010,0,0,0,0,0,-0.18,1.14,0
20160119:2110,0,0,0,0,0,-0.39,1.28,0
20160119:2210,0,0,0,0,0,-0.51,1.23,0
20160119:2310,0,0,0,0,0,-0.64,1.18,0
20160120:0010,0,0,0,0,0,-0.77,1.13,0
20160120:0110,0,0,0,0,0,-1.04,1.14,0
20160120:0210,0,0,0,0,0,-1.31,1.15,0
20160120:0310,0,0,0,0,0,-1.57,1.16,0
20160120:0410,0,0,0,0,0,-1.59,1.07,0
20160120:0510,0,0,0,0,0,-1.6,0.98,0
20160120:0610,0,0,0,0,0,-1.61,0.9,0
20160120:0710,0,0,0,0,0,-1.31,0.86,0
20160120:0810,18048,37.76,63.93,1.38,8.18,-1.01,0.82,0
20160120:0910,13896,9.73,71.09,1.53,14.92,-0.71,0.79,0
20160120:1010,27430,42.63,101.25,2.35,19.75,0.02,0.74,0
20160120:1110,37098,39.68,149.75,3.32,22.21,0.75,0.69,0
20160120:1210,33544,15.8,158.11,3.37,22.03,1.48,0.65,0
20160120:1310,29668,41.18,113.98,2.56,19.23,1.51,0.93,0
20160120:1410,27754,45.25,101.14,2.22,14.12,1.55,1.22,0
